date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:31:57	4301/4301	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202016%2005:31:57%20GMT	http://www.utah.edu/robots.txt		(from )
05:31:57	14211/14211	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:31:57%20GMT	http://www.utah.edu/	C:/My%20Web%20Sites/utah/www.utah.edu/index.html	(from )
05:31:57	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2216013b-13e-53e3836c97da5%22	http://www.utah.edu/_images/favicon.ico	C:/My%20Web%20Sites/utah/www.utah.edu/_images/favicon.ico	(from http://www.utah.edu/)
05:31:58	1519/1519	---M--	200	added ('OK')	image/png	etag:%221601ae-5ef-53e3836c97da5%22	http://www.utah.edu/_images/apple-touch-icon.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/apple-touch-icon.png	(from http://www.utah.edu/)
05:31:58	2504/2504	---M-Z	200	added ('OK')	text/css	etag:%22160122-9c8-53e3836c97da5%22	http://www.utah.edu/_css/normalize.min.css	C:/My%20Web%20Sites/utah/www.utah.edu/_css/normalize.min.css	(from http://www.utah.edu/)
05:31:58	46762/46762	---M-Z	200	added ('OK')	text/css	etag:%22160215-b6aa-53e3836c97da5%22	http://www.utah.edu/_css/main.css	C:/My%20Web%20Sites/utah/www.utah.edu/_css/main.css	(from http://www.utah.edu/)
05:31:58	1805/1805	---M-Z	200	added ('OK')	text/css	etag:%221600fa-70d-53e3836c97da5%22	http://www.utah.edu/_css/u-light.css	C:/My%20Web%20Sites/utah/www.utah.edu/_css/u-light.css	(from http://www.utah.edu/)
05:31:59	19484/19484	---M-Z	200	added ('OK')	application/javascript	etag:%22160145-4c1c-53e3836d489c5%22	http://www.utah.edu/_scripts/vendor/modernizr-2.6.2-respond-1.1.0.min.js	C:/My%20Web%20Sites/utah/www.utah.edu/_scripts/vendor/modernizr-2.6.2-respond-1.1.0.min.js	(from http://www.utah.edu/)
05:31:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2007%20Oct%202016%2005:31:59%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/utah/www.googletagmanager.com/gtm.65445.delayed	(from http://www.utah.edu/)
05:31:59	19034/19034	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:31:59%20GMT	http://www.utah.edu/students/catalog.php	C:/My%20Web%20Sites/utah/www.utah.edu/students/catalog.html	(from http://www.utah.edu/)
05:31:59	34081/34081	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:31:59%20GMT	http://www.utah.edu/academics/colleges.php	C:/My%20Web%20Sites/utah/www.utah.edu/academics/colleges.html	(from http://www.utah.edu/)
05:31:59	21541/21541	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:31:59%20GMT	http://www.utah.edu/libraries/index.php	C:/My%20Web%20Sites/utah/www.utah.edu/libraries/index.html	(from http://www.utah.edu/)
05:32:00	22459/22459	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:00%20GMT	http://www.utah.edu/academics/	C:/My%20Web%20Sites/utah/www.utah.edu/academics/index.html	(from http://www.utah.edu/)
05:32:00	22909/22909	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:31:59%20GMT	http://www.utah.edu/arts/events.php	C:/My%20Web%20Sites/utah/www.utah.edu/arts/events.html	(from http://www.utah.edu/)
05:32:01	30029/30029	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:01%20GMT	http://www.utah.edu/arts/academic.php	C:/My%20Web%20Sites/utah/www.utah.edu/arts/academic.html	(from http://www.utah.edu/)
05:32:01	23831/23831	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:00%20GMT	http://www.utah.edu/arts/	C:/My%20Web%20Sites/utah/www.utah.edu/arts/index.html	(from http://www.utah.edu/)
05:32:02	23870/23870	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:01%20GMT	http://www.utah.edu/arts/professional.php	C:/My%20Web%20Sites/utah/www.utah.edu/arts/professional.html	(from http://www.utah.edu/)
05:32:02	26877/26877	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:02%20GMT	http://www.utah.edu/arts/youth.php	C:/My%20Web%20Sites/utah/www.utah.edu/arts/youth.html	(from http://www.utah.edu/)
05:32:02	16859/16859	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:02%20GMT	http://www.utah.edu/banners-home-sml.php	C:/My%20Web%20Sites/utah/www.utah.edu/banners-home-sml.html	(from http://www.utah.edu/)
05:32:02	441/441	---M--	200	added ('OK')	image/png	etag:%2216025e-1b9-53e3836c97da5%22	http://www.utah.edu/_images/logo_block_u.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/logo_block_u.png	(from http://www.utah.edu/)
05:32:03	17525/17525	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:02%20GMT	http://www.utah.edu/events/index.php?trumbaEmbed=view%3devent%26eventid%3d120300980	C:/My%20Web%20Sites/utah/www.utah.edu/events/index6733.html	(from http://www.utah.edu/)
05:32:03	21279/21279	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:03%20GMT	http://www.utah.edu/community/index.php	C:/My%20Web%20Sites/utah/www.utah.edu/community/index.html	(from http://www.utah.edu/)
05:32:04	25218/25218	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:04%20GMT	http://www.utah.edu/future-students/	C:/My%20Web%20Sites/utah/www.utah.edu/future-students/index.html	(from http://www.utah.edu/)
05:32:04	26017/26017	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:04%20GMT	http://www.utah.edu/students/	C:/My%20Web%20Sites/utah/www.utah.edu/students/index.html	(from http://www.utah.edu/)
05:32:04	4021/4021	---M--	200	added ('OK')	image/png	etag:%22160159-fb5-53e3836c97da5%22	http://www.utah.edu/_images/imagine_u.png	C:/My%20Web%20Sites/utah/www.utah.edu/_images/imagine_u.png	(from http://www.utah.edu/)
05:32:06	33762/33762	---M-Z	200	added ('OK')	application/javascript	etag:%221601b0-83e2-53e3836d489c5%22	http://www.utah.edu/_scripts/vendor/jquery.cycle.all_min.js	C:/My%20Web%20Sites/utah/www.utah.edu/_scripts/vendor/jquery.cycle.all_min.js	(from http://www.utah.edu/)
